X,	Y,	Z,	Resultado	
-1,	-1,	-1,	19.8441	
-1,	-1,	-0.5,	22.9119	
-1,	-1,	0,	24.2721	
-1,	-1,	0.5,	22.8874	
-1,	-1,	1,	19.8081	
-1,	-0.5,	-1,	22.9195	
-1,	-0.5,	-0.5,	27.6776	
-1,	-0.5,	0,	29.69	
-1,	-0.5,	0.5,	27.5945	
-1,	-0.5,	1,	22.8552	
-1,	0,	-1,	24.2892	
-1,	0,	-0.5,	29.7048	
-1,	0,	0,	31.9946	
-1,	0,	0.5,	29.6311	
-1,	0,	1,	24.1926	
-1,	0.5,	-1,	22.9147	
-1,	0.5,	-0.5,	27.6374	
-1,	0.5,	0,	29.6543	
-1,	0.5,	0.5,	27.542	
-1,	0.5,	1,	22.8251	
-1,	1,	-1,	19.8324	
-1,	1,	-0.5,	22.8833	
-1,	1,	0,	24.2177	
-1,	1,	0.5,	22.8344	
-1,	1,	1,	19.7738	
-0.5,	-1,	-1,	22.9108	
-0.5,	-1,	-0.5,	27.658	
-0.5,	-1,	0,	29.7042	
-0.5,	-1,	0.5,	27.6179	
-0.5,	-1,	1,	22.8622	
-0.5,	-0.5,	-1,	27.6753	
-0.5,	-0.5,	-0.5,	34.6529	
-0.5,	-0.5,	0,	37.5226	
-0.5,	-0.5,	0.5,	34.5679	
-0.5,	-0.5,	1,	27.547	
-0.5,	0,	-1,	29.7573	
-0.5,	0,	-0.5,	37.4878	
-0.5,	0,	0,	40.6571	
-0.5,	0,	0.5,	37.4741	
-0.5,	0,	1,	29.5608	
-0.5,	0.5,	-1,	27.6697	
-0.5,	0.5,	-0.5,	34.5811	
-0.5,	0.5,	0,	37.4904	
-0.5,	0.5,	0.5,	34.4796	
-0.5,	0.5,	1,	27.4929	
-0.5,	1,	-1,	22.9029	
-0.5,	1,	-0.5,	27.6151	
-0.5,	1,	0,	29.6193	
-0.5,	1,	0.5,	27.5256	
-0.5,	1,	1,	22.8126	
0,	-1,	-1,	24.2781	
0,	-1,	-0.5,	29.7071	
0,	-1,	0,	32.0307	
0,	-1,	0.5,	29.6513	
0,	-1,	1,	24.2201	
0,	-0.5,	-1,	29.7018	
0,	-0.5,	-0.5,	37.538	
0,	-0.5,	0,	40.6906	
0,	-0.5,	0.5,	37.3937	
0,	-0.5,	1,	29.5841	
0,	0,	-1,	32.0495	
0,	0,	-0.5,	40.6938	
0,	0,	0,	44.3593	
0,	0,	0.5,	40.6425	
0,	0,	1,	31.8857	
0,	0.5,	-1,	29.6818	
0,	0.5,	-0.5,	37.3953	
0,	0.5,	0,	40.585	
0,	0.5,	0.5,	37.3303	
0,	0.5,	1,	29.5284	
0,	1,	-1,	24.2522	
0,	1,	-0.5,	29.6384	
0,	1,	0,	31.9265	
0,	1,	0.5,	29.5355	
0,	1,	1,	24.1593	
0.5,	-1,	-1,	22.9079	
0.5,	-1,	-0.5,	27.6313	
0.5,	-1,	0,	29.6834	
0.5,	-1,	0.5,	27.5925	
0.5,	-1,	1,	22.8593	
0.5,	-0.5,	-1,	27.6144	
0.5,	-0.5,	-0.5,	34.5954	
0.5,	-0.5,	0,	37.4349	
0.5,	-0.5,	0.5,	34.5193	
0.5,	-0.5,	1,	27.5445	
0.5,	0,	-1,	29.6916	
0.5,	0,	-0.5,	37.4269	
0.5,	0,	0,	40.6755	
0.5,	0,	0.5,	37.3661	
0.5,	0,	1,	29.5688	
0.5,	0.5,	-1,	27.6116	
0.5,	0.5,	-0.5,	34.572	
0.5,	0.5,	0,	37.3721	
0.5,	0.5,	0.5,	34.446	
0.5,	0.5,	1,	27.499	
0.5,	1,	-1,	22.8662	
0.5,	1,	-0.5,	27.5515	
0.5,	1,	0,	29.5521	
0.5,	1,	0.5,	27.491	
0.5,	1,	1,	22.7991	
1,	-1,	-1,	19.8275	
1,	-1,	-0.5,	22.8865	
1,	-1,	0,	24.2403	
1,	-1,	0.5,	22.8655	
1,	-1,	1,	19.7985	
1,	-0.5,	-1,	22.8845	
1,	-0.5,	-0.5,	27.5908	
1,	-0.5,	0,	29.6309	
1,	-0.5,	0.5,	27.5644	
1,	-0.5,	1,	22.8466	
1,	0,	-1,	24.2321	
1,	0,	-0.5,	29.6329	
1,	0,	0,	31.9305	
1,	0,	0.5,	29.5604	
1,	0,	1,	24.1803	
1,	0.5,	-1,	22.8596	
1,	0.5,	-0.5,	27.5441	
1,	0.5,	0,	29.5719	
1,	0.5,	0.5,	27.5206	
1,	0.5,	1,	22.8064	
1,	1,	-1,	19.7962	
1,	1,	-0.5,	22.832	
1,	1,	0,	24.1619	
1,	1,	0.5,	22.7998	
1,	1,	1,	19.7559	
