X,	Y,	Z,	Resultado	
-1.5,	1,	1.5,	14.5955	
-1.5,	1,	2,	12.7083	
-1.5,	1.5,	-2,	11.7331	
-1.5,	1.5,	-1.5,	13.1705	
-1.5,	1.5,	-1,	14.596	
-1.5,	1.5,	-0.5,	15.7109	
-1.5,	1.5,	0,	16.1433	
-1.5,	1.5,	0.5,	15.7113	
-1.5,	1.5,	1,	14.5972	
-1.5,	1.5,	1.5,	13.1724	
-1.5,	1.5,	2,	11.7353	
-1.5,	2,	-2,	10.6828	
-1.5,	2,	-1.5,	11.7335	
-1.5,	2,	-1,	12.7077	
-1.5,	2,	-0.5,	13.4236	
-1.5,	2,	0,	13.6908	
-1.5,	2,	0.5,	13.4246	
-1.5,	2,	1,	12.7095	
-1.5,	2,	1.5,	11.7357	
-1.5,	2,	2,	10.685	
-1,	-2,	-2,	11.4096	
-1,	-2,	-1.5,	12.7176	
-1,	-2,	-1,	13.9877	
-1,	-2,	-0.5,	14.9625	
-1,	-2,	0,	15.3376	
-1,	-2,	0.5,	14.9664	
-1,	-2,	1,	13.993	
-1,	-2,	1.5,	12.7225	
-1,	-2,	2,	11.4133	
-1,	-1.5,	-2,	12.7112	
-1,	-1.5,	-1.5,	14.6014	
-1,	-1.5,	-1,	16.6232	
-1,	-1.5,	-0.5,	18.3357	
-1,	-1.5,	0,	19.0412	
-1,	-1.5,	0.5,	18.3441	
-1,	-1.5,	1,	16.6325	
-1,	-1.5,	1.5,	14.6083	
-1,	-1.5,	2,	12.7159	
-1,	-1,	-2,	13.9706	
-1,	-1,	-1.5,	16.6083	
-1,	-1,	-1,	19.7848	
-1,	-1,	-0.5,	22.8697	
-1,	-1,	0,	24.2411	
-1,	-1,	0.5,	22.8851	
-1,	-1,	1,	19.7957	
-1,	-1,	1.5,	16.6154	
-1,	-1,	2,	13.9753	
-1,	-0.5,	-2,	14.9325	
-1,	-0.5,	-1.5,	18.2983	
-1,	-0.5,	-1,	22.8404	
-1,	-0.5,	-0.5,	27.5595	
-1,	-0.5,	0,	29.5532	
-1,	-0.5,	0.5,	27.543	
-1,	-0.5,	1,	22.8356	
-1,	-0.5,	1.5,	18.3002	
-1,	-0.5,	2,	14.9357	
-1,	0,	-2,	15.2988	
-1,	0,	-1.5,	18.9856	
-1,	0,	-1,	24.1985	
-1,	0,	-0.5,	29.5576	
-1,	0,	0,	31.9577	
-1,	0,	0.5,	29.5663	
-1,	0,	1,	24.1848	
-1,	0,	1.5,	18.9825	
-1,	0,	2,	15.3006	
-1,	0.5,	-2,	14.9283	
-1,	0.5,	-1.5,	18.2923	
-1,	0.5,	-1,	22.8276	
-1,	0.5,	-0.5,	27.5613	
-1,	0.5,	0,	29.6031	
-1,	0.5,	0.5,	27.5413	
-1,	0.5,	1,	22.8223	
-1,	0.5,	1.5,	18.2918	
-1,	0.5,	2,	14.9304	
-1,	1,	-2,	13.9625	
-1,	1,	-1.5,	16.5975	
-1,	1,	-1,	19.7695	
-1,	1,	-0.5,	22.8433	
-1,	1,	0,	24.2037	
-1,	1,	0.5,	22.8383	
-1,	1,	1,	19.7707	
-1,	1,	1.5,	16.6004	
-1,	1,	2,	13.9657	
-1,	1.5,	-2,	12.7001	
-1,	1.5,	-1.5,	14.586	
-1,	1.5,	-1,	16.6008	
-1,	1.5,	-0.5,	18.3014	
-1,	1.5,	0,	18.9956	
-1,	1.5,	0.5,	18.3038	
-1,	1.5,	1,	16.6049	
-1,	1.5,	1.5,	14.5902	
-1,	1.5,	2,	12.7039	
-1,	2,	-2,	11.3971	
-1,	2,	-1.5,	12.7008	
-1,	2,	-1,	13.9649	
-1,	2,	-0.5,	14.9329	
-1,	2,	0,	15.304	
-1,	2,	0.5,	14.9354	
-1,	2,	1,	13.9687	
-1,	2,	1.5,	12.7048	
-1,	2,	2,	11.4006	
-0.5,	-2,	-2,	11.9141	
-0.5,	-2,	-1.5,	13.4283	
-0.5,	-2,	-1,	14.9513	
-0.5,	-2,	-0.5,	16.1618	
-0.5,	-2,	0,	16.6389	
-0.5,	-2,	0.5,	16.1677	
-0.5,	-2,	1,	14.959	
-0.5,	-2,	1.5,	13.4347	
-0.5,	-2,	2,	11.9187	
-0.5,	-1.5,	-2,	13.4198	
-0.5,	-1.5,	-1.5,	15.7055	
-0.5,	-1.5,	-1,	18.3117	
-0.5,	-1.5,	-0.5,	20.6876	
-0.5,	-1.5,	0,	21.7235	
-0.5,	-1.5,	0.5,	20.7052	
-0.5,	-1.5,	1,	18.3294	
-0.5,	-1.5,	1.5,	15.7164	
-0.5,	-1.5,	2,	13.4261	
-0.5,	-1,	-2,	14.9273	
-0.5,	-1,	-1.5,	18.2869	
-0.5,	-1,	-1,	22.8171	
-0.5,	-1,	-0.5,	27.576	
-0.5,	-1,	0,	29.6566	
-0.5,	-1,	0.5,	27.6181	
-0.5,	-1,	1,	22.8535	
-0.5,	-1,	1.5,	18.3017	
-0.5,	-1,	2,	14.9344	
-0.5,	-0.5,	-2,	16.1175	
-0.5,	-0.5,	-1.5,	20.6157	
-0.5,	-0.5,	-1,	27.4806	
-0.5,	-0.5,	-0.5,	34.4161	
-0.5,	-0.5,	0,	37.377	
-0.5,	-0.5,	0.5,	34.469	
-0.5,	-0.5,	1,	27.4891	
-0.5,	-0.5,	1.5,	20.6261	
-0.5,	-0.5,	2,	16.1231	
-0.5,	0,	-2,	16.581	
-0.5,	0,	-1.5,	21.6142	
-0.5,	0,	-1,	29.5429	
-0.5,	0,	-0.5,	37.2957	
-0.5,	0,	0,	40.8248	
-0.5,	0,	0.5,	37.3332	
-0.5,	0,	1,	29.5435	
-0.5,	0,	1.5,	21.6151	
-0.5,	0,	2,	16.5846	
-0.5,	0.5,	-2,	16.1128	
-0.5,	0.5,	-1.5,	20.6132	
-0.5,	0.5,	-1,	27.563	
-0.5,	0.5,	-0.5,	34.3828	
-0.5,	0.5,	0,	37.3575	
-0.5,	0.5,	0.5,	34.5119	
-0.5,	0.5,	1,	27.5388	
-0.5,	0.5,	1.5,	20.616	
-0.5,	0.5,	2,	16.117	
-0.5,	1,	-2,	14.9172	
-0.5,	1,	-1.5,	18.2749	
-0.5,	1,	-1,	22.8065	
-0.5,	1,	-0.5,	27.5251	
-0.5,	1,	0,	29.6308	
-0.5,	1,	0.5,	27.5706	
-0.5,	1,	1,	22.8192	
-0.5,	1,	1.5,	18.2829	
-0.5,	1,	2,	14.9231	
-0.5,	1.5,	-2,	13.4058	
-0.5,	1.5,	-1.5,	15.6852	
-0.5,	1.5,	-1,	18.2797	
-0.5,	1.5,	-0.5,	20.63	
-0.5,	1.5,	0,	21.6417	
-0.5,	1.5,	0.5,	20.6418	
-0.5,	1.5,	1,	18.2917	
-0.5,	1.5,	1.5,	15.6938	
-0.5,	1.5,	2,	13.4119	
-0.5,	2,	-2,	11.8988	
-0.5,	2,	-1.5,	13.4067	
-0.5,	2,	-1,	14.9204	
-0.5,	2,	-0.5,	16.1196	
-0.5,	2,	0,	16.5906	
-0.5,	2,	0.5,	16.1252	
-0.5,	2,	1,	14.9278	
-0.5,	2,	1.5,	13.4132	
-0.5,	2,	2,	11.904	
0,	-2,	-2,	12.0952	
0,	-2,	-1.5,	13.6895	
0,	-2,	-1,	15.3149	
0,	-2,	-0.5,	16.6246	
0,	-2,	0,	17.1453	
0,	-2,	0.5,	16.6304	
0,	-2,	1,	15.3227	
0,	-2,	1.5,	13.696	
0,	-2,	2,	12.0999	
0,	-1.5,	-2,	13.6799	
0,	-1.5,	-1.5,	16.1272	
0,	-1.5,	-1,	18.9908	
0,	-1.5,	-0.5,	21.685	
0,	-1.5,	0,	22.8889	
0,	-1.5,	0.5,	21.7037	
0,	-1.5,	1,	19.0104	
0,	-1.5,	1.5,	16.1387	
0,	-1.5,	2,	13.6864	
0,	-1,	-2,	15.2868	
0,	-1,	-1.5,	18.9586	
0,	-1,	-1,	24.1365	
0,	-1,	-0.5,	29.5936	
0,	-1,	0,	31.9299	
0,	-1,	0.5,	29.6277	
0,	-1,	1,	24.1822	
0,	-1,	1.5,	18.9761	
0,	-1,	2,	15.2944	
0,	-0.5,	-2,	16.5715	
0,	-0.5,	-1.5,	21.5856	
0,	-0.5,	-1,	29.5031	
0,	-0.5,	-0.5,	37.4098	
0,	-0.5,	0,	40.2572	
0,	-0.5,	0.5,	37.2921	
0,	-0.5,	1,	29.5194	
0,	-0.5,	1.5,	21.6	
0,	-0.5,	2,	16.5781	
0,	0,	-2,	17.0756	
0,	0,	-1.5,	22.7405	
0,	0,	-1,	31.7363	
0,	0,	-0.5,	40.4511	
0,	0,	0,	44.0585	
0,	0,	0.5,	40.5525	
0,	0,	1,	31.8473	
0,	0,	1.5,	22.7418	
0,	0,	2,	17.0808	
0,	0.5,	-2,	16.5648	
0,	0.5,	-1.5,	21.583	
0,	0.5,	-1,	29.419	
0,	0.5,	-0.5,	37.106	
0,	0.5,	0,	40.1627	
0,	0.5,	0.5,	37.0641	
0,	0.5,	1,	29.591	
0,	0.5,	1.5,	21.5918	
0,	0.5,	2,	16.5717	
0,	1,	-2,	15.273	
0,	1,	-1.5,	18.9382	
0,	1,	-1,	24.1039	
0,	1,	-0.5,	29.4926	
0,	1,	0,	31.9349	
0,	1,	0.5,	29.57	
0,	1,	1,	24.1561	
0,	1,	1.5,	18.9556	
0,	1,	2,	15.2823	
0,	1.5,	-2,	13.6621	
0,	1.5,	-1.5,	16.0987	
0,	1.5,	-1,	18.9413	
0,	1.5,	-0.5,	21.5944	
0,	1.5,	0,	22.7698	
0,	1.5,	0.5,	21.6216	
0,	1.5,	1,	18.9656	
0,	1.5,	1.5,	16.1134	
0,	1.5,	2,	13.671	
0,	2,	-2,	12.0771	
0,	2,	-1.5,	13.6627	
0,	2,	-1,	15.2753	
0,	2,	-0.5,	16.5701	
0,	2,	0,	17.0845	
0,	2,	0.5,	16.5793	
0,	2,	1,	15.2868	
0,	2,	1.5,	13.6722	
0,	2,	2,	12.084	
0.5,	-2,	-2,	11.9069	
0.5,	-2,	-1.5,	13.4185	
0.5,	-2,	-1,	14.9383	
0.5,	-2,	-0.5,	16.1452	
0.5,	-2,	0,	16.6194	
0.5,	-2,	0.5,	16.1485	
0.5,	-2,	1,	14.9433	
0.5,	-2,	1.5,	13.4232	
0.5,	-2,	2,	11.9107	
0.5,	-1.5,	-2,	13.4094	
0.5,	-1.5,	-1.5,	15.69	
0.5,	-1.5,	-1,	18.2893	
0.5,	-1.5,	-0.5,	20.6551	
0.5,	-1.5,	0,	21.6795	
0.5,	-1.5,	0.5,	20.6615	
0.5,	-1.5,	1,	18.2985	
0.5,	-1.5,	1.5,	15.6971	
0.5,	-1.5,	2,	13.4143	
0.5,	-1,	-2,	14.912	
0.5,	-1,	-1.5,	18.2611	
0.5,	-1,	-1,	22.7754	
0.5,	-1,	-0.5,	27.5399	
0.5,	-1,	0,	29.5686	
0.5,	-1,	0.5,	27.5254	
0.5,	-1,	1,	22.7863	
0.5,	-1,	1.5,	18.2692	
0.5,	-1,	2,	14.9175	
0.5,	-0.5,	-2,	16.0961	
0.5,	-0.5,	-1.5,	20.5726	
0.5,	-0.5,	-1,	27.4401	
0.5,	-0.5,	-0.5,	34.1279	
0.5,	-0.5,	0,	37.2184	
0.5,	-0.5,	0.5,	34.4248	
0.5,	-0.5,	1,	27.4527	
0.5,	-0.5,	1.5,	20.5762	
0.5,	-0.5,	2,	16.1013	
0.5,	0,	-2,	16.5548	
0.5,	0,	-1.5,	21.5563	
0.5,	0,	-1,	29.3524	
0.5,	0,	-0.5,	36.965	
0.5,	0,	0,	40.6827	
0.5,	0,	0.5,	37.2722	
0.5,	0,	1,	29.4002	
0.5,	0,	1.5,	21.5575	
0.5,	0,	2,	16.5607	
0.5,	0.5,	-2,	16.0856	
0.5,	0.5,	-1.5,	20.55	
0.5,	0.5,	-1,	27.3504	
0.5,	0.5,	-0.5,	34.2701	
0.5,	0.5,	0,	37.3193	
0.5,	0.5,	0.5,	34.3501	
0.5,	0.5,	1,	27.4455	
0.5,	0.5,	1.5,	20.5685	
0.5,	0.5,	2,	16.095	
0.5,	1,	-2,	14.8937	
0.5,	1,	-1.5,	18.2244	
0.5,	1,	-1,	22.6809	
0.5,	1,	-0.5,	27.3647	
0.5,	1,	0,	29.4244	
0.5,	1,	0.5,	27.4474	
0.5,	1,	1,	22.7491	
0.5,	1,	1.5,	18.2492	
0.5,	1,	2,	14.9054	
0.5,	1.5,	-2,	13.3884	
0.5,	1.5,	-1.5,	15.6539	
0.5,	1.5,	-1,	18.2241	
0.5,	1.5,	-0.5,	20.5484	
0.5,	1.5,	0,	21.5595	
0.5,	1.5,	0.5,	20.5808	
0.5,	1.5,	1,	18.2543	
0.5,	1.5,	1.5,	15.6719	
0.5,	1.5,	2,	13.3989	
0.5,	2,	-2,	11.887	
0.5,	2,	-1.5,	13.3885	
0.5,	2,	-1,	14.894	
0.5,	2,	-0.5,	16.0864	
0.5,	2,	0,	16.5568	
