X,	Y,	Z,	Resultado	
-1,	-1,	-1,	20.1817	
-1,	-1,	-0.5,	23.3	
-1,	-1,	0,	24.7142	
-1,	-1,	0.5,	23.3624	
-1,	-1,	1,	20.2559	
-1,	-0.5,	-1,	23.3163	
-1,	-0.5,	-0.5,	28.1232	
-1,	-0.5,	0,	30.2986	
-1,	-0.5,	0.5,	28.2559	
-1,	-0.5,	1,	23.4238	
-1,	0,	-1,	24.7445	
-1,	0,	-0.5,	30.314	
-1,	0,	0,	32.6918	
-1,	0,	0.5,	30.4688	
-1,	0,	1,	24.8483	
-1,	0.5,	-1,	23.393	
-1,	0.5,	-0.5,	28.2891	
-1,	0.5,	0,	30.4624	
-1,	0.5,	0.5,	28.3111	
-1,	0.5,	1,	23.4504	
-1,	1,	-1,	20.2801	
-1,	1,	-0.5,	23.447	
-1,	1,	0,	24.8879	
-1,	1,	0.5,	23.469	
-1,	1,	1,	20.2937	
-0.5,	-1,	-1,	23.2524	
-0.5,	-1,	-0.5,	28.0543	
-0.5,	-1,	0,	30.1211	
-0.5,	-1,	0.5,	28.2075	
-0.5,	-1,	1,	23.3808	
-0.5,	-0.5,	-1,	28.0845	
-0.5,	-0.5,	-0.5,	35.1522	
-0.5,	-0.5,	0,	38.3979	
-0.5,	-0.5,	0.5,	35.4574	
-0.5,	-0.5,	1,	28.2897	
-0.5,	0,	-1,	30.2607	
-0.5,	0,	-0.5,	38.2859	
-0.5,	0,	0,	41.6901	
-0.5,	0,	0.5,	38.1335	
-0.5,	0,	1,	30.4218	
-0.5,	0.5,	-1,	28.2414	
-0.5,	0.5,	-0.5,	35.3074	
-0.5,	0.5,	0,	38.3033	
-0.5,	0.5,	0.5,	35.3431	
-0.5,	0.5,	1,	28.2578	
-0.5,	1,	-1,	23.4204	
-0.5,	1,	-0.5,	28.2898	
-0.5,	1,	0,	30.4427	
-0.5,	1,	0.5,	28.2913	
-0.5,	1,	1,	23.3918	
0,	-1,	-1,	24.6091	
0,	-1,	-0.5,	30.1322	
0,	-1,	0,	32.5468	
0,	-1,	0.5,	30.1775	
0,	-1,	1,	24.7618	
0,	-0.5,	-1,	30.1872	
0,	-0.5,	-0.5,	38.2808	
0,	-0.5,	0,	41.6067	
0,	-0.5,	0.5,	38.3625	
0,	-0.5,	1,	30.3018	
0,	0,	-1,	32.6099	
0,	0,	-0.5,	41.6326	
0,	0,	0,	45.3241	
0,	0,	0.5,	41.574	
0,	0,	1,	32.6366	
0,	0.5,	-1,	30.2742	
0,	0.5,	-0.5,	38.3283	
0,	0.5,	0,	41.5502	
0,	0.5,	0.5,	38.5222	
0,	0.5,	1,	30.2885	
0,	1,	-1,	24.7892	
0,	1,	-0.5,	30.3471	
0,	1,	0,	32.6862	
0,	1,	0.5,	30.3159	
0,	1,	1,	24.7327	
0.5,	-1,	-1,	23.2591	
0.5,	-1,	-0.5,	28.0843	
0.5,	-1,	0,	30.1971	
0.5,	-1,	0.5,	28.1849	
0.5,	-1,	1,	23.3529	
0.5,	-0.5,	-1,	28.0926	
0.5,	-0.5,	-0.5,	35.2152	
0.5,	-0.5,	0,	38.2637	
0.5,	-0.5,	0.5,	35.3713	
0.5,	-0.5,	1,	28.1584	
0.5,	0,	-1,	30.2436	
0.5,	0,	-0.5,	38.2114	
0.5,	0,	0,	41.3496	
0.5,	0,	0.5,	38.2803	
0.5,	0,	1,	30.3105	
0.5,	0.5,	-1,	28.1669	
0.5,	0.5,	-0.5,	35.4998	
0.5,	0.5,	0,	38.1846	
0.5,	0.5,	0.5,	35.318	
0.5,	0.5,	1,	28.1341	
0.5,	1,	-1,	23.3638	
0.5,	1,	-0.5,	28.1774	
0.5,	1,	0,	30.2045	
0.5,	1,	0.5,	28.1514	
0.5,	1,	1,	23.3242	
1,	-1,	-1,	20.1808	
1,	-1,	-0.5,	23.3024	
1,	-1,	0,	24.7072	
1,	-1,	0.5,	23.3186	
1,	-1,	1,	20.2131	
1,	-0.5,	-1,	23.3144	
1,	-0.5,	-0.5,	28.124	
1,	-0.5,	0,	30.2893	
1,	-0.5,	0.5,	28.1914	
1,	-0.5,	1,	23.33	
1,	0,	-1,	24.7399	
1,	0,	-0.5,	30.2824	
1,	0,	0,	32.6168	
1,	0,	0.5,	30.3055	
1,	0,	1,	24.7059	
1,	0.5,	-1,	23.3491	
1,	0.5,	-0.5,	28.2093	
1,	0.5,	0,	30.3264	
1,	0.5,	0.5,	28.166	
1,	0.5,	1,	23.3189	
1,	1,	-1,	20.2296	
1,	1,	-0.5,	23.3494	
1,	1,	0,	24.7446	
1,	1,	0.5,	23.3466	
1,	1,	1,	20.2135	
