X,	Y,	Z,	Resultado	
-2,	-2,	-2,	9.88279	
-2,	-2,	-1,	11.4186	
-2,	-2,	0,	12.116	
-2,	-2,	1,	11.4202	
-2,	-2,	2,	9.88463	
-2,	-1,	-2,	11.4116	
-2,	-1,	-1,	13.987	
-2,	-1,	0,	15.3278	
-2,	-1,	1,	13.988	
-2,	-1,	2,	11.4133	
-2,	0,	-2,	12.1018	
-2,	0,	-1,	15.3175	
-2,	0,	0,	17.1228	
-2,	0,	1,	15.316	
-2,	0,	2,	12.1026	
-2,	1,	-2,	11.4065	
-2,	1,	-1,	13.9782	
-2,	1,	0,	15.3154	
-2,	1,	1,	13.9779	
-2,	1,	2,	11.4076	
-2,	2,	-2,	9.87496	
-2,	2,	-1,	11.4067	
-2,	2,	0,	12.1012	
-2,	2,	1,	11.4077	
-2,	2,	2,	9.87643	
-1,	-2,	-2,	11.4095	
-1,	-2,	-1,	13.9871	
-1,	-2,	0,	15.3357	
-1,	-2,	1,	13.9925	
-1,	-2,	2,	11.4133	
-1,	-1,	-2,	13.97	
-1,	-1,	-1,	19.5106	
-1,	-1,	0,	22.1028	
-1,	-1,	1,	19.5046	
-1,	-1,	2,	13.9747	
-1,	0,	-2,	15.297	
-1,	0,	-1,	21.9709	
-1,	0,	0,	22.9862	
-1,	0,	1,	22.0722	
-1,	0,	2,	15.2989	
-1,	1,	-2,	13.962	
-1,	1,	-1,	19.4988	
-1,	1,	0,	22.0778	
-1,	1,	1,	19.4982	
-1,	1,	2,	13.9652	
-1,	2,	-2,	11.3971	
-1,	2,	-1,	13.9644	
-1,	2,	0,	15.3022	
-1,	2,	1,	13.9682	
-1,	2,	2,	11.4006	
0,	-2,	-2,	12.0952	
0,	-2,	-1,	15.313	
0,	-2,	0,	17.1376	
0,	-2,	1,	15.3208	
0,	-2,	2,	12.0998	
0,	-1,	-2,	15.2848	
0,	-1,	-1,	22.0133	
0,	-1,	0,	22.9266	
0,	-1,	1,	21.9379	
0,	-1,	2,	15.2925	
0,	0,	-2,	17.068	
0,	0,	-1,	22.9638	
0,	0,	0,	17.2179	
0,	0,	1,	22.9079	
0,	0,	2,	17.0736	
0,	1,	-2,	15.271	
0,	1,	-1,	21.9368	
0,	1,	0,	22.751	
0,	1,	1,	21.9378	
0,	1,	2,	15.2806	
0,	2,	-2,	12.077	
0,	2,	-1,	15.2735	
0,	2,	0,	17.0773	
0,	2,	1,	15.285	
0,	2,	2,	12.0839	
1,	-2,	-2,	11.3968	
1,	-2,	-1,	13.9655	
1,	-2,	0,	15.3058	
1,	-2,	1,	13.9676	
1,	-2,	2,	11.3994	
1,	-1,	-2,	13.945	
1,	-1,	-1,	19.4337	
1,	-1,	0,	21.8796	
1,	-1,	1,	19.4621	
1,	-1,	2,	13.9482	
1,	0,	-2,	15.257	
1,	0,	-1,	21.8867	
1,	0,	0,	23.0221	
1,	0,	1,	21.9622	
1,	0,	2,	15.263	
1,	1,	-2,	13.9257	
1,	1,	-1,	19.4325	
1,	1,	0,	21.939	
1,	1,	1,	19.4022	
1,	1,	2,	13.9369	
1,	2,	-2,	11.3771	
1,	2,	-1,	13.9245	
1,	2,	0,	15.2529	
1,	2,	1,	13.9358	
1,	2,	2,	11.3845	
2,	-2,	-2,	9.86579	
2,	-2,	-1,	11.3937	
2,	-2,	0,	12.0863	
2,	-2,	1,	11.3942	
2,	-2,	2,	9.86707	
2,	-1,	-2,	11.3841	
2,	-1,	-1,	13.9411	
2,	-1,	0,	15.2707	
2,	-1,	1,	13.9406	
2,	-1,	2,	11.3858	
2,	0,	-2,	12.0649	
2,	0,	-1,	15.248	
2,	0,	0,	17.0381	
2,	0,	1,	15.2517	
2,	0,	2,	12.0689	
2,	1,	-2,	11.3719	
2,	1,	-1,	13.9143	
2,	1,	0,	15.2378	
2,	1,	1,	13.9227	
2,	1,	2,	11.3778	
2,	2,	-2,	9.85156	
2,	2,	-1,	11.37	
2,	2,	0,	12.0592	
2,	2,	1,	11.3749	
2,	2,	2,	9.85612	
