X	Y	Z	Resultado	
0	-4	2	4.9706	
0	-4	3	4.9706	
0	-4	4	4.9706	
0	-3	-4	4.9706	
0	-3	-3	4.9706	
0	-3	-2	4.9706	
0	-3	-1	4.9706	
0	-3	0	4.9706	
0	-3	1	4.9706	
0	-3	2	4.9706	
0	-3	3	4.9706	
0	-3	4	4.9706	
0	-2	-4	4.9706	
0	-2	-3	4.9706	
0	-2	-2	4.9706	
0	-2	-1	4.9706	
0	-2	0	4.9706	
0	-2	1	4.9706	
0	-2	2	4.9706	
0	-2	3	4.9706	
0	-2	4	4.9706	
0	-1	-4	4.9706	
0	-1	-3	4.9706	
0	-1	-2	4.9706	
0	-1	-1	4.9706	
0	-1	0	4.9706	
0	-1	1	4.9706	
0	-1	2	4.9706	
0	-1	3	4.9706	
0	-1	4	4.9706	
0	0	-4	4.9706	
0	0	-3	4.9706	
0	0	-2	4.9706	
0	0	-1	4.9706	
0	0	0	4.9706	
0	0	1	4.9706	
0	0	2	4.9706	
0	0	3	4.9706	
0	0	4	4.9706	
0	1	-4	4.9706	
0	1	-3	4.9706	
0	1	-2	4.9706	
0	1	-1	4.9706	
0	1	0	4.9706	
0	1	1	4.9706	
0	1	2	4.9706	
0	1	3	4.9706	
0	1	4	4.9706	
0	2	-4	4.9706	
0	2	-3	4.9706	
0	2	-2	4.9706	
0	2	-1	4.9706	
0	2	0	4.9706	
0	2	1	4.9706	
0	2	2	4.9706	
0	2	3	4.9706	
0	2	4	4.9706	
0	3	-4	4.9706	
0	3	-3	4.9706	
0	3	-2	4.9706	
0	3	-1	4.9706	
0	3	0	4.9706	
0	3	1	4.9706	
0	3	2	4.9706	
0	3	3	4.9706	
0	3	4	4.9706	
0	4	-4	4.9706	
0	4	-3	4.9706	
0	4	-2	4.9706	
0	4	-1	4.9706	
0	4	0	4.9706	
0	4	1	4.9706	
0	4	2	4.9706	
0	4	3	4.9706	
0	4	4	4.9706	
1	-4	-4	4.9706	
1	-4	-3	4.9706	
1	-4	-2	4.9706	
1	-4	-1	4.9706	
1	-4	0	4.9706	
1	-4	1	4.9706	
1	-4	2	4.9706	
1	-4	3	4.9706	
1	-4	4	4.9706	
1	-3	-4	4.9706	
1	-3	-3	4.9706	
1	-3	-2	4.9706	
1	-3	-1	4.9706	
1	-3	0	4.9706	
1	-3	1	4.9706	
1	-3	2	4.9706	
1	-3	3	4.9706	
1	-3	4	4.9706	
1	-2	-4	4.9706	
1	-2	-3	4.9706	
1	-2	-2	4.9706	
1	-2	-1	4.9706	
1	-2	0	4.9706	
