X	Y	Z	Resultado	
-4	-4	-4	4.96788	
-4	-4	-3	5.37576	
-4	-4	-2	5.73777	
-4	-4	-1	5.99403	
-4	-4	0	6.08813	
-4	-4	1	5.99608	
-4	-4	2	5.74133	
-4	-4	3	5.38009	
-4	-4	4	4.97238	
-4	-3	-4	5.37585	
-4	-3	-3	5.90404	
-4	-3	-2	6.39398	
-4	-3	-1	6.75446	
-4	-3	0	6.88996	
-4	-3	1	6.75742	
-4	-3	2	6.39895	
-4	-3	3	5.90984	
-4	-3	4	5.3816	
-4	-2	-4	5.73805	
-4	-2	-3	6.39416	
-4	-2	-2	7.03042	
-4	-2	-1	7.51821	
-4	-2	0	7.70634	
-4	-2	1	7.52229	
-4	-2	2	7.03704	
-4	-2	3	6.40156	
-4	-2	4	5.7451	
-4	-1	-4	5.99484	
-4	-1	-3	6.75532	
-4	-1	-2	7.51911	
-4	-1	-1	8.12493	
-4	-1	0	8.36374	
-4	-1	1	8.13002	
-4	-1	2	7.52723	
-4	-1	3	6.76412	
-4	-1	4	6.00296	
-4	0	-4	6.09004	
-4	0	-3	6.89247	
-4	0	-2	7.70972	
-4	0	-1	8.36704	
-4	0	0	8.62857	
-4	0	1	8.37264	
-4	0	2	7.71858	
-4	0	3	6.90197	
-4	0	4	6.09869	
-4	1	-4	5.99952	
-4	1	-3	6.76229	
-4	1	-2	7.52914	
-4	1	-1	8.13806	
-4	1	0	8.37836	
-4	1	1	8.14342	
-4	1	2	7.53766	
-4	1	3	6.77149	
-4	1	4	6.00796	
-4	2	-4	5.74617	
-4	2	-3	6.40576	
-4	2	-2	7.04637	
-4	2	-1	7.5383	
-4	2	0	7.72832	
-4	2	1	7.54276	
-4	2	2	7.05361	
-4	2	3	6.41379	
-4	2	4	5.75374	
-4	3	-4	5.38571	
-4	3	-3	5.91744	
-4	3	-2	6.41141	
-4	3	-1	6.77544	
-4	3	0	6.91252	
-4	3	1	6.77878	
-4	3	2	6.41699	
-4	3	3	5.92388	
-4	3	4	5.39204	
-4	4	-4	4.97811	
-4	4	-3	5.38895	
-4	4	-2	5.75409	
-4	4	-1	6.01291	
-4	4	0	6.10812	
-4	4	1	6.01527	
-4	4	2	5.75816	
-4	4	3	5.39385	
-4	4	4	4.98313	
-3	-4	-4	5.37358	
-3	-4	-3	5.90128	
-3	-4	-2	6.39078	
-3	-4	-1	6.75101	
-3	-4	0	6.88645	
-3	-4	1	6.75399	
-3	-4	2	6.39575	
-3	-4	3	5.90701	
-3	-4	4	5.37923	
-3	-3	-4	5.90116	
-3	-3	-3	6.62257	
-3	-3	-2	7.33807	
-3	-3	-1	7.8988	
-3	-3	0	8.11824	
-3	-3	1	7.90367	
-3	-3	2	7.3457	
-3	-3	3	6.63076	
-3	-3	4	5.90871	
-3	-2	-4	6.39046	
-3	-2	-3	7.3376	
-3	-2	-2	8.3491	
-3	-2	-1	9.20419	
-3	-2	0	9.55644	
-3	-2	1	9.21181	
-3	-2	2	8.36032	
-3	-2	3	7.3488	
-3	-2	4	6.40013	
-3	-1	-4	6.75088	
-3	-1	-3	7.89825	
-3	-1	-2	9.20402	
-3	-1	-1	10.3891	
-3	-1	0	10.9029	
-3	-1	1	10.3996	
-3	-1	2	9.21886	
-3	-1	3	7.91228	
-3	-1	4	6.76239	
-3	0	-4	6.88761	
-3	0	-3	8.11976	
-3	0	-2	9.56006	
-3	0	-1	10.9096	
-3	0	0	11.5089	
-3	0	1	10.9216	
-3	0	2	9.57687	
-3	0	3	8.13529	
-3	0	4	6.90007	
-3	1	-4	6.75752	
-3	1	-3	7.90944	
-3	1	-2	9.22293	
-3	1	-1	10.4181	
-3	1	0	10.9375	
-3	1	1	10.4294	
-3	1	2	9.23885	
-3	1	3	7.92435	
-3	1	4	6.76961	
-3	2	-4	6.40156	
-3	2	-3	7.35508	
-3	2	-2	8.37605	
-3	2	-1	9.24181	
-3	2	0	9.5995	
-3	2	1	9.2504	
-3	2	2	8.38867	
-3	2	3	7.36753	
-3	2	4	6.41213	
-3	3	-4	5.91403	
-3	3	-3	6.64127	
-3	3	-2	7.36427	
-3	3	-1	7.93232	
-3	3	0	8.15522	
-3	3	1	7.93798	
-3	3	2	7.3731	
-3	3	3	6.65064	
-3	3	4	5.92253	
-3	4	-4	5.38633	
-3	4	-3	5.91848	
-3	4	-2	6.41305	
-3	4	-1	6.77771	
-3	4	0	6.91514	
-3	4	1	6.78124	
-3	4	2	6.41889	
-3	4	3	5.92514	
-3	4	4	5.39279	
-2	-4	-4	5.73251	
-2	-4	-3	6.38716	
-2	-4	-2	7.02213	
-2	-4	-1	7.50921	
-2	-4	0	7.69724	
-2	-4	1	7.51341	
-2	-4	2	7.02876	
-2	-4	3	6.39439	
-2	-4	4	5.73928	
-2	-3	-4	6.38672	
-2	-3	-3	7.33263	
-2	-3	-2	8.34307	
-2	-3	-1	9.19806	
-2	-3	0	9.55091	
-2	-3	1	9.20617	
-2	-3	2	8.35452	
-2	-3	3	7.34371	
-2	-3	4	6.39616	
-2	-2	-4	7.02073	
-2	-2	-3	8.34105	
-2	-2	-2	9.92894	
-2	-2	-1	11.4723	
-2	-2	0	12.1803	
-2	-2	1	11.4883	
-2	-2	2	9.94837	
-2	-2	3	8.35743	
-2	-2	4	7.03332	
-2	-1	-4	7.50703	
-2	-1	-3	9.19297	
-2	-1	-2	11.4654	
-2	-1	-1	14.049	
-2	-1	0	15.4049	
-2	-1	1	14.0746	
-2	-1	2	11.4943	
-2	-1	3	9.21487	
-2	-1	4	7.52255	
-2	0	-4	7.69619	
-2	0	-3	9.54697	
-2	0	-2	12.1749	
-2	0	-1	15.4177	
-2	0	0	17.2559	
-2	0	1	15.448	
-2	0	2	12.2097	
-2	0	3	9.57208	
-2	0	4	7.71331	
-2	1	-4	7.51593	
-2	1	-3	9.21036	
-2	1	-2	11.5026	
-2	1	-1	14.1259	
-2	1	0	15.5124	
-2	1	1	14.1544	
-2	1	2	11.5348	
-2	1	3	9.23426	
-2	1	4	7.53251	
-2	2	-4	7.03506	
-2	2	-3	8.36612	
-2	2	-2	9.97366	
-2	2	-1	11.5451	
-2	2	0	12.2695	
-2	2	1	11.5635	
-2	2	2	9.99652	
-2	2	3	8.38502	
-2	2	4	7.04919	
-2	3	-4	6.40262	
-2	3	-3	7.35732	
-2	3	-2	8.38054	
-2	3	-1	9.24963	
-2	3	0	9.60971	
-2	3	1	9.25945	
-2	3	2	8.39439	
-2	3	3	7.37047	
-2	3	4	6.41352	
-2	4	-4	5.74762	
-2	4	-3	6.4084	
-2	4	-2	7.05085	
-2	4	-1	7.54492	
-2	4	0	7.73625	
-2	4	1	7.55009	
-2	4	2	7.05895	
-2	4	3	6.41707	
-2	4	4	5.75555	
-1	-4	-4	5.98507	
-1	-4	-3	6.74251	
-1	-4	-2	7.50331	
-1	-4	-1	8.10724	
-1	-4	0	8.3457	
-1	-4	1	8.11256	
-1	-4	2	7.51133	
-1	-4	3	6.75083	
-1	-4	4	5.99259	
-1	-3	-4	6.74176	
-1	-3	-3	7.88535	
-1	-3	-2	9.18726	
-1	-3	-1	10.3715	
-1	-3	0	10.8877	
-1	-3	1	10.3838	
-1	-3	2	9.20266	
-1	-3	3	7.89883	
