X	Y	Z	Resultado	
-10	-1	-7	3.23424	
-10	-1	-6	3.38273	
-10	-1	-5	3.52532	
-10	-1	-4	3.65587	
-10	-1	-3	3.76734	
-10	-1	-2	3.8525	
-10	-1	-1	3.90497	
-10	-1	0	3.92047	
-10	-1	1	3.89767	
-10	-1	2	3.83852	
-10	-1	3	3.74781	
-10	-1	4	3.63217	
-10	-1	5	3.49885	
-10	-1	6	3.35477	
-10	-1	7	3.20582	
-10	-1	8	3.05663	
-10	-1	9	2.91058	
-10	-1	10	2.76992	
-10	0	-10	2.80356	
-10	0	-9	2.94664	
-10	0	-8	3.09495	
-10	0	-7	3.24602	
-10	0	-6	3.39623	
-10	0	-5	3.54062	
-10	0	-4	3.67295	
-10	0	-3	3.78606	
-10	0	-2	3.87253	
-10	0	-1	3.92585	
-10	0	0	3.94161	
-10	0	1	3.91845	
-10	0	2	3.85836	
-10	0	3	3.76628	
-10	0	4	3.64896	
-10	0	5	3.51385	
-10	0	6	3.36798	
-10	0	7	3.21734	
-10	0	8	3.06661	
-10	0	9	2.91918	
-10	0	10	2.77733	
-10	1	-10	2.79709	
-10	1	-9	2.93914	
-10	1	-8	3.08626	
-10	1	-7	3.23601	
-10	1	-6	3.38477	
-10	1	-5	3.52766	
-10	1	-4	3.65851	
-10	1	-3	3.77026	
-10	1	-2	3.85565	
-10	1	-1	3.90829	
-10	1	0	3.92385	
-10	1	1	3.901	
-10	1	2	3.84171	
-10	1	3	3.75078	
-10	1	4	3.63486	
-10	1	5	3.50125	
-10	1	6	3.35687	
-10	1	7	3.20764	
-10	1	8	3.0582	
-10	1	9	2.91192	
-10	1	10	2.77108	
-10	2	-10	2.77684	
-10	2	-9	2.91567	
-10	2	-8	3.05914	
-10	2	-7	3.20479	
-10	2	-6	3.34911	
-10	2	-5	3.48735	
-10	2	-4	3.61363	
-10	2	-3	3.72121	
-10	2	-2	3.80326	
-10	2	-1	3.85377	
-10	2	0	3.8687	
-10	2	1	3.84681	
-10	2	2	3.78992	
-10	2	3	3.70254	
-10	2	4	3.5909	
-10	2	5	3.4619	
-10	2	6	3.32213	
-10	2	7	3.17729	
-10	2	8	3.03186	
-10	2	9	2.88915	
-10	2	10	2.75142	
-10	3	-10	2.7437	
-10	3	-9	2.87738	
-10	3	-8	3.015	
-10	3	-7	3.15416	
-10	3	-6	3.29146	
-10	3	-5	3.42242	
-10	3	-4	3.54155	
-10	3	-3	3.64267	
-10	3	-2	3.71954	
-10	3	-1	3.76676	
-10	3	0	3.78072	
-10	3	1	3.76029	
-10	3	2	3.7071	
-10	3	3	3.6252	
-10	3	4	3.52021	
-10	3	5	3.39842	
-10	3	6	3.26591	
-10	3	7	3.12799	
-10	3	8	2.98893	
-10	3	9	2.85192	
-10	3	10	2.71921	
-10	4	-10	2.69902	
-10	4	-9	2.82598	
-10	4	-8	2.95603	
-10	4	-7	3.08684	
-10	4	-6	3.21518	
-10	4	-5	3.33692	
-10	4	-4	3.44707	
-10	4	-3	3.54011	
-10	4	-2	3.61057	
-10	4	-1	3.65373	
-10	4	0	3.66647	
-10	4	1	3.64784	
-10	4	2	3.59923	
-10	4	3	3.52413	
-10	4	4	3.42745	
-10	4	5	3.31473	
-10	4	6	3.19142	
-10	4	7	3.06235	
-10	4	8	2.9315	
-10	4	9	2.8019	
-10	4	10	2.67574	
-10	5	-10	2.64453	
-10	5	-9	2.76362	
-10	5	-8	2.88488	
-10	5	-7	3.00608	
-10	5	-6	3.12424	
-10	5	-5	3.2356	
-10	5	-4	3.33572	
-10	5	-3	3.41983	
-10	5	-2	3.48323	
-10	5	-1	3.52195	
-10	5	0	3.53337	
-10	5	1	3.5167	
-10	5	2	3.47309	
-10	5	3	3.40547	
-10	5	4	3.31799	
-10	5	5	3.21541	
-10	5	6	3.10248	
-10	5	7	2.98351	
-10	5	8	2.86211	
-10	5	9	2.74113	
-10	5	10	2.62266	
-10	6	-10	2.58211	
-10	6	-9	2.69261	
-10	6	-8	2.80439	
-10	6	-7	2.91535	
-10	6	-6	3.02275	
-10	6	-5	3.12326	
-10	6	-4	3.21304	
-10	6	-3	3.28801	
-10	6	-2	3.34425	
-10	6	-1	3.37848	
-10	6	0	3.38857	
-10	6	1	3.37385	
-10	6	2	3.3353	
-10	6	3	3.27528	
-10	6	4	3.19723	
-10	6	5	3.10515	
-10	6	6	3.00308	
-10	6	7	2.89479	
-10	6	8	2.7835	
-10	6	9	2.67184	
-10	6	10	2.56177	
-10	7	-10	2.51367	
-10	7	-9	2.61527	
-10	7	-8	2.71733	
-10	7	-7	2.81791	
-10	7	-6	2.91455	
-10	7	-5	3.00433	
-10	7	-4	3.08399	
-10	7	-3	3.1501	
-10	7	-2	3.19946	
-10	7	-1	3.22941	
-10	7	0	3.23822	
-10	7	1	3.22538	
-10	7	2	3.19165	
-10	7	3	3.13893	
-10	7	4	3.07004	
-10	7	5	2.98824	
-10	7	6	2.89694	
-10	7	7	2.79937	
-10	7	8	2.69835	
-10	7	9	2.59626	
-10	7	10	2.49492	
-10	8	-10	2.44102	
-10	8	-9	2.53375	
-10	8	-8	2.62622	
-10	8	-7	2.71668	
-10	8	-6	2.80296	
-10	8	-5	2.88255	
-10	8	-4	2.95269	
-10	8	-3	3.01057	
-10	8	-2	3.05357	
-10	8	-1	3.07957	
-10	8	0	3.08722	
-10	8	1	3.07609	
-10	8	2	3.04679	
-10	8	3	3.00084	
-10	8	4	2.94047	
-10	8	5	2.86836	
-10	8	6	2.78733	
-10	8	7	2.70009	
-10	8	8	2.60911	
-10	8	9	2.51647	
-10	8	10	2.42387	
-10	9	-10	2.3658	
-10	9	-9	2.44992	
-10	9	-8	2.53322	
-10	9	-7	2.61411	
-10	9	-6	2.69072	
-10	9	-5	2.76089	
-10	9	-4	2.82233	
-10	9	-3	2.87275	
-10	9	-2	2.91004	
-10	9	-1	2.93252	
-10	9	0	2.93913	
-10	9	1	2.92952	
-10	9	2	2.90418	
-10	9	3	2.86431	
-10	9	4	2.81167	
-10	9	5	2.74843	
-10	9	6	2.6769	
-10	9	7	2.59934	
-10	9	8	2.51787	
-10	9	9	2.43431	
-10	9	10	2.35019	
-10	10	-10	2.2894	
-10	10	-9	2.36537	
-10	10	-8	2.44008	
-10	10	-7	2.51212	
-10	10	-6	2.57988	
-10	10	-5	2.64153	
-10	10	-4	2.6952	
-10	10	-3	2.739	
-10	10	-2	2.77127	
-10	10	-1	2.79067	
-10	10	0	2.79636	
-10	10	1	2.78809	
-10	10	2	2.76622	
-10	10	3	2.7317	
-10	10	4	2.68593	
-10	10	5	2.63064	
-10	10	6	2.56771	
-10	10	7	2.49903	
-10	10	8	2.42637	
-10	10	9	2.35133	
-10	10	10	2.27526	
-9	-10	-10	2.35965	
-9	-10	-9	2.44307	
-9	-10	-8	2.52562	
-9	-10	-7	2.60574	
-9	-10	-6	2.68154	
-9	-10	-5	2.75093	
-9	-10	-4	2.81165	
-9	-10	-3	2.86143	
-9	-10	-2	2.89823	
-9	-10	-1	2.92039	
-9	-10	0	2.92687	
-9	-10	1	2.91735	
-9	-10	2	2.89229	
-9	-10	3	2.85288	
-9	-10	4	2.80085	
-9	-10	5	2.73832	
-9	-10	6	2.66756	
-9	-10	7	2.5908	
-9	-10	8	2.51011	
-9	-10	9	2.42731	
-9	-10	10	2.3439	
-9	-9	-10	2.4443	
-9	-9	-9	2.53739	
-9	-9	-8	2.63025	
-9	-9	-7	2.7211	
-9	-9	-6	2.80777	
-9	-9	-5	2.88773	
-9	-9	-4	2.95819	
-9	-9	-3	3.01633	
-9	-9	-2	3.05953	
-9	-9	-1	3.08563	
-9	-9	0	3.09326	
-9	-9	1	3.08203	
-9	-9	2	3.05253	
-9	-9	3	3.00631	
-9	-9	4	2.94561	
-9	-9	5	2.87313	
-9	-9	6	2.79171	
-9	-9	7	2.70409	
-9	-9	8	2.61273	
-9	-9	9	2.51973	
-9	-9	10	2.42679	
-9	-8	-10	2.52834	
-9	-8	-9	2.63178	
-9	-8	-8	2.73583	
-9	-8	-7	2.83851	
-9	-8	-6	2.93731	
-9	-8	-5	3.02922	
-9	-8	-4	3.11086	
-9	-8	-3	3.17868	
-9	-8	-2	3.22934	
-9	-8	-1	3.26007	
-9	-8	0	3.26908	
-9	-8	1	3.25582	
-9	-8	2	3.22111	
-9	-8	3	3.16693	
-9	-8	4	3.09621	
-9	-8	5	3.01237	
-9	-8	6	2.91892	
-9	-8	7	2.8192	
-9	-8	8	2.71612	
-9	-8	9	2.61209	
-9	-8	10	2.50898	
-9	-7	-10	2.61023	
-9	-7	-9	2.72451	
-9	-7	-8	2.84045	
-9	-7	-7	2.95587	
-9	-7	-6	3.06794	
-9	-7	-5	3.17311	
-9	-7	-4	3.26731	
-9	-7	-3	3.34615	
-9	-7	-2	3.40539	
-9	-7	-1	3.44148	
-9	-7	0	3.45208	
-9	-7	1	3.43647	
-9	-7	2	3.39572	
-9	-7	3	3.33243	
-9	-7	4	3.25033	
-9	-7	5	3.15373	
-9	-7	6	3.04698	
-9	-7	7	2.93407	
-9	-7	8	2.8184	
-9	-7	9	2.70267	
-9	-7	10	2.58893	
-9	-6	-10	2.68809	
-9	-6	-9	2.81341	
-9	-6	-8	2.94162	
-9	-6	-7	3.0704	
-9	-6	-6	3.19657	
-9	-6	-5	3.31606	
-9	-6	-4	3.42401	
-9	-6	-3	3.51507	
-9	-6	-2	3.58392	
-9	-6	-1	3.62605	
-9	-6	0	3.63844	
-9	-6	1	3.62018	
-9	-6	2	3.57263	
-9	-6	3	3.49915	
-9	-6	4	3.40446	
-9	-6	5	3.29394	
-9	-6	6	3.17287	
-9	-6	7	3.04597	
